cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
3,88,0,infeccioso,susceptible,trabajo,True
56,89,0,susceptible,susceptible,trabajo,False
1,89,0,expuesto,susceptible,trabajo,False
26,89,0,recuperado,susceptible,trabajo,False
13,89,0,infeccioso,susceptible,trabajo,False
4,89,0,infeccioso,susceptible,trabajo,True
56,90,0,susceptible,susceptible,trabajo,False
1,90,0,expuesto,susceptible,trabajo,False
26,90,0,recuperado,susceptible,trabajo,False
13,90,0,infeccioso,susceptible,trabajo,False
4,90,0,infeccioso,susceptible,trabajo,True
56,91,0,susceptible,susceptible,trabajo,False
1,91,0,expuesto,susceptible,trabajo,False
29,91,0,recuperado,susceptible,trabajo,False
4,91,0,infeccioso,susceptible,trabajo,True
10,91,0,infeccioso,susceptible,trabajo,False
56,92,0,susceptible,susceptible,trabajo,False
1,92,0,expuesto,susceptible,trabajo,False
30,92,0,recuperado,susceptible,trabajo,False
3,92,0,infeccioso,susceptible,trabajo,True
10,92,0,infeccioso,susceptible,trabajo,False
55,93,0,susceptible,susceptible,trabajo,False
1,93,0,expuesto,susceptible,trabajo,False
30,93,0,recuperado,susceptible,trabajo,False
3,93,0,infeccioso,susceptible,trabajo,True
11,93,0,infeccioso,susceptible,trabajo,False
55,94,0,susceptible,susceptible,trabajo,False
1,94,0,expuesto,susceptible,trabajo,False
30,94,0,recuperado,susceptible,trabajo,False
3,94,0,infeccioso,susceptible,trabajo,True
11,94,0,infeccioso,susceptible,trabajo,False
55,95,0,susceptible,susceptible,trabajo,False
1,95,0,expuesto,susceptible,trabajo,False
31,95,0,recuperado,susceptible,trabajo,False
4,95,0,infeccioso,susceptible,trabajo,True
9,95,0,infeccioso,susceptible,trabajo,False
54,96,0,susceptible,susceptible,trabajo,False
2,96,0,expuesto,susceptible,trabajo,False
32,96,0,recuperado,susceptible,trabajo,False
9,96,0,infeccioso,susceptible,trabajo,False
3,96,0,infeccioso,susceptible,trabajo,True
54,97,0,susceptible,susceptible,trabajo,False
2,97,0,expuesto,susceptible,trabajo,False
32,97,0,recuperado,susceptible,trabajo,False
9,97,0,infeccioso,susceptible,trabajo,False
3,97,0,infeccioso,susceptible,trabajo,True
54,98,0,susceptible,susceptible,trabajo,False
2,98,0,expuesto,susceptible,trabajo,False
32,98,0,recuperado,susceptible,trabajo,False
11,98,0,infeccioso,susceptible,trabajo,False
1,98,0,infeccioso,susceptible,trabajo,True
54,99,0,susceptible,susceptible,trabajo,False
2,99,0,expuesto,susceptible,trabajo,False
32,99,0,recuperado,susceptible,trabajo,False
11,99,0,infeccioso,susceptible,trabajo,False
1,99,0,infeccioso,susceptible,trabajo,True
53,100,0,susceptible,susceptible,trabajo,False
3,100,0,expuesto,susceptible,trabajo,False
32,100,0,recuperado,susceptible,trabajo,False
11,100,0,infeccioso,susceptible,trabajo,False
1,100,0,infeccioso,susceptible,trabajo,True
52,101,0,susceptible,susceptible,trabajo,False
2,101,0,expuesto,susceptible,trabajo,False
33,101,0,recuperado,susceptible,trabajo,False
12,101,0,infeccioso,susceptible,trabajo,False
1,101,0,infeccioso,susceptible,trabajo,True
52,102,0,susceptible,susceptible,trabajo,False
12,102,0,infeccioso,susceptible,trabajo,False
33,102,0,recuperado,susceptible,trabajo,False
2,102,0,infeccioso,susceptible,trabajo,True
1,102,0,expuesto,susceptible,trabajo,False
52,103,0,susceptible,susceptible,trabajo,False
11,103,0,infeccioso,susceptible,trabajo,False
35,103,0,recuperado,susceptible,trabajo,False
1,103,0,expuesto,susceptible,trabajo,False
1,103,0,infeccioso,susceptible,trabajo,True
52,104,0,susceptible,susceptible,trabajo,False
10,104,0,infeccioso,susceptible,trabajo,False
36,104,0,recuperado,susceptible,trabajo,False
1,104,0,expuesto,susceptible,trabajo,False
1,104,0,infeccioso,susceptible,trabajo,True
52,105,0,susceptible,susceptible,trabajo,False
9,105,0,infeccioso,susceptible,trabajo,False
37,105,0,recuperado,susceptible,trabajo,False
1,105,0,expuesto,susceptible,trabajo,False
1,105,0,infeccioso,susceptible,trabajo,True
52,106,0,susceptible,susceptible,trabajo,False
9,106,0,infeccioso,susceptible,trabajo,False
37,106,0,recuperado,susceptible,trabajo,False
1,106,0,expuesto,susceptible,trabajo,False
1,106,0,infeccioso,susceptible,trabajo,True
52,107,0,susceptible,susceptible,trabajo,False
9,107,0,infeccioso,susceptible,trabajo,False
37,107,0,recuperado,susceptible,trabajo,False
2,107,0,infeccioso,susceptible,trabajo,True
52,108,0,susceptible,susceptible,trabajo,False
9,108,0,infeccioso,susceptible,trabajo,False
37,108,0,recuperado,susceptible,trabajo,False
2,108,0,infeccioso,susceptible,trabajo,True
52,109,0,susceptible,susceptible,trabajo,False
8,109,0,infeccioso,susceptible,trabajo,False
38,109,0,recuperado,susceptible,trabajo,False
2,109,0,infeccioso,susceptible,trabajo,True
52,110,0,susceptible,susceptible,trabajo,False
7,110,0,infeccioso,susceptible,trabajo,False
40,110,0,recuperado,susceptible,trabajo,False
1,110,0,infeccioso,susceptible,trabajo,True
51,111,0,susceptible,susceptible,trabajo,False
6,111,0,infeccioso,susceptible,trabajo,False
41,111,0,recuperado,susceptible,trabajo,False
1,111,0,expuesto,susceptible,trabajo,False
1,111,0,infeccioso,susceptible,trabajo,True
51,112,0,susceptible,susceptible,trabajo,False
